,name,artist,release_year,duration,popularity,valence,energy,acousticness,danceability
3nKeNPOQXlQhT7vPPdwDaq,Lonely,Akon,2005,235.8,0.5700000000000001,0.623,0.526,0.339,0.634
3pxCXv0NACYfYnLjFcQW5D,Addicted,Saving Abel,2008,222.826,0.6900000000000001,0.529,0.865,0.000821,0.512
3qKGvSu1inEZKwYQnMavNA,Smack That - Dirty,Akon,2006,212.36,0.74,0.932,0.743,0.317,0.9400000000000001
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,1971,300.0,0.7000000000000001,0.156,0.722,0.28700000000000003,0.494
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),Clean Bandit,2014,227.833,0.76,0.549,0.586,0.162,0.799
3ssX20QT5c3nA9wk78V1LQ,Ambitionz Az A Ridah,2Pac,1996,278.386,0.79,0.804,0.91,0.00239,0.801
3vMCg20dt8lUiPozDINUBf,Animals,Maroon 5,2014,231.013,0.08,0.34400000000000003,0.741,0.00018899999999999999,0.459
3xKsPtA5XG91Zlh0SyycmM,Come On Eileen,Dexys Midnight Runners,2009,205.933,0.67,0.8240000000000001,0.874,0.197,0.41000000000000003
3yI282DoIJyERd0vGukMoB,Fortunate Son,Creedence Clearwater Revival,1969,140.773,0.77,0.609,0.669,0.20800000000000002,0.643
3ziCNz5vq8pEeRZjPElfYR,Moonage Daydream,David Bowie,1972,280.53,0.2,0.736,0.61,0.0408,0.556
40riOy7x9W7GXjyGp4pjAv,Hotel California,Eagles,1976,391.376,0.8300000000000001,0.609,0.508,0.00574,0.579
416MsJxvxSKY96DCmbJIRs,The Hanging Tree,James Newton Howard,2014,218.506,0.58,0.109,0.085,0.329,0.255
43eBgYRTmu5BJnCJDBU5Hb,Rio,Duran Duran,1982,337.333,0.63,0.676,0.873,0.0415,0.544
454DinyN4ouKpOrtEIIYQU,Nevermind,Leonard Cohen,2014,279.933,0.53,0.61,0.428,0.621,0.835
46QazXxQS0B31CnbRCy8CV,Rock You Like a Hurricane,Scorpions,2011,255.573,0.73,0.705,0.891,0.000261,0.587
46THN9jjPWhSqFUu6YsBhv,Panda,Desiigner,2016,247.866,0.74,0.245,0.734,0.0241,0.679
477daPpd3DnneaHhvjM35l,Are You With Me - Radio Edit,Lost Frequencies,2014,138.842,0.59,0.41200000000000003,0.5740000000000001,0.466,0.776
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,1999,329.733,0.8300000000000001,0.328,0.767,0.0021000000000000003,0.592
48psxWnIVYCPUZJKiuDiEf,The Man Who Sold The World,Nirvana,1994,260.946,0.6900000000000001,0.4,0.773,0.432,0.468
4BWtaaeVIRsR5HgLfuJAB9,Iron Man,Black Sabbath,2016,353.613,0.54,0.417,0.795,0.0036100000000000004,0.336
4E5P1XyAFtrjpiIxkydly4,Replay,Iyaz,2009,182.306,0.7000000000000001,0.195,0.751,0.17300000000000001,0.706
4G8gkOterJn0Ywt6uhqbhp,Radioactive,Imagine Dragons,2012,186.813,0.77,0.176,0.799,0.126,0.47800000000000004
4Hbe0lRKsXtDZ2wQIovz7I,Johnny B. Goode,Chuck Berry,1959,161.56,0.67,0.969,0.806,0.748,0.522
4IKgGUdznqTZdN9FtPdyDm,Walking,Ash Grunwald,2010,247.386,0.38,0.671,0.796,0.321,0.584
4IxzYy314HtlLcg9Dey9t7,Killing Strangers,Marilyn Manson,2015,336.487,0.5700000000000001,0.516,0.551,0.0099,0.593
